datetime,open,high,low,close,volume
2006-01-02,4566.95,4601.35,4542.0,4556.25,0.0
2006-01-03,4531.45,4605.45,4531.45,4600.25,0.0
2006-01-04,4619.55,4707.6,4616.05,4694.14,0.0
2006-01-05,4714.2,4782.64,4670.55,4760.45,0.0
2006-01-06,4767.25,4802.8,4703.1,4755.6,0.0
2006-01-09,4758.1,4777.05,4676.1,4695.6,0.0
2006-01-10,4698.8,4724.85,4617.6,4629.1,0.0
2006-01-12,4629.64,4659.0,4592.0,4635.35,0.0
2006-01-13,4634.25,4672.14,4589.45,4602.55,0.0
2006-01-16,4602.95,4615.95,4533.8,4558.14,0.0
2006-01-17,4556.35,4604.6,4491.89,4504.05,0.0
2006-01-18,4442.8,4493.55,4385.64,4441.75,0.0
2006-01-19,4447.64,4513.6,4447.64,4489.0,0.0
2006-01-20,4550.8,4553.8,4490.89,4509.39,0.0
2006-01-23,4510.85,4529.35,4462.14,4491.7,0.0
2006-01-24,4494.85,4546.35,4484.2,4492.3,0.0
2006-01-25,4493.2,4577.05,4477.3,4494.95,0.0
2006-01-27,4564.05,4676.6,4564.0,4666.89,0.0
2006-01-30,4574.05,4668.39,4566.3,4601.8,0.0
2006-01-31,4629.05,4632.05,4595.45,4617.6,0.0
2006-02-01,4622.3,4645.39,4469.55,4483.8,0.0
2006-02-02,4542.14,4542.14,4426.85,4441.05,0.0
2006-02-03,4444.6,4444.6,4382.2,4397.89,0.0
2006-02-06,4421.6,4506.95,4421.6,4481.64,0.0
2006-02-07,4483.6,4597.39,4482.55,4578.1,0.0
2006-02-08,4580.0,4580.0,4501.75,4563.85,0.0
2006-02-10,4564.3,4597.5,4557.14,4581.85,0.0
2006-02-13,4584.05,4629.45,4584.05,4611.0,0.0
2006-02-14,4611.0,4619.89,4526.75,4540.0,0.0
2006-02-15,4360.3,4578.2,4360.3,4515.8,0.0
2006-02-16,4542.05,4569.89,4479.35,4548.1,0.0
2006-02-17,4545.75,4576.14,4442.05,4452.3,0.0
2006-02-20,4460.64,4471.6,4392.75,4449.3,0.0
2006-02-21,4450.05,4486.8,4450.05,4466.6,0.0
2006-02-22,4467.3,4487.64,4436.0,4452.1,0.0
2006-02-23,4462.5,4478.35,4378.1,4394.89,0.0
2006-02-24,4406.6,4508.1,4398.0,4497.75,0.0
2006-02-27,4502.89,4566.95,4502.89,4560.05,0.0
2006-02-28,4565.05,4613.39,4515.05,4579.05,0.0
2006-03-01,4521.7,4585.8,4500.64,4572.7,0.0
2006-03-02,4579.8,4686.39,4560.89,4656.35,0.0
2006-03-03,4660.8,4682.75,4612.7,4624.0,0.0
2006-03-06,4624.85,4661.05,4624.85,4634.45,0.0
2006-03-07,4638.95,4643.45,4562.25,4621.8,0.0
2006-03-08,4635.55,4640.3,4538.89,4555.35,0.0
2006-03-09,4555.64,4595.25,4491.1,4587.35,0.0
2006-03-10,4594.95,4683.45,4594.95,4656.05,0.0
2006-03-13,4660.95,4699.64,4648.89,4666.3,0.0
2006-03-14,4740.7,4785.05,4650.45,4688.0,0.0
2006-03-16,4697.8,4738.35,4688.89,4710.5,0.0
2006-03-17,4717.7,4744.39,4686.14,4701.14,0.0
2006-03-20,4707.0,4730.7,4697.2,4707.95,0.0
2006-03-21,4711.39,4744.25,4644.6,4661.85,0.0
2006-03-22,4666.7,4666.7,4592.7,4607.45,0.0
2006-03-23,4621.95,4664.0,4594.85,4626.0,0.0
2006-03-24,4627.14,4680.3,4627.14,4662.89,0.0
2006-03-27,4709.25,4731.8,4689.75,4702.35,0.0
2006-03-28,4703.6,4732.3,4654.14,4660.64,0.0
2006-03-29,4646.1,4687.55,4644.89,4680.5,0.0
2006-03-30,4678.64,4709.1,4628.35,4638.45,0.0
2006-03-31,4643.05,4706.14,4629.89,4661.5,0.0
2006-04-03,4661.5,4731.95,4661.5,4724.05,0.0
2006-04-04,4742.64,4836.95,4742.64,4824.64,0.0
2006-04-05,4829.45,4895.89,4829.45,4873.0,0.0
2006-04-07,4878.64,4905.05,4702.95,4717.6,0.0
2006-04-10,4721.39,4754.8,4649.64,4689.45,0.0
2006-04-12,4644.39,4698.6,4567.0,4575.25,0.0
2006-04-13,4574.3,4584.8,4408.64,4467.1,0.0
2006-04-17,4477.5,4575.95,4477.5,4561.7,0.0
2006-04-18,4566.45,4687.3,4566.45,4633.75,0.0
2006-04-19,4639.45,4694.0,4605.25,4620.89,0.0
2006-04-20,4626.55,4644.35,4592.2,4624.3,0.0
2006-04-21,4627.35,4662.39,4567.1,4596.1,0.0
2006-04-24,4593.25,4606.05,4503.95,4520.5,0.0
2006-04-25,4523.89,4543.05,4446.89,4455.55,0.0
2006-04-26,4450.0,4517.89,4450.0,4499.3,0.0
2006-04-27,4514.14,4562.14,4415.6,4435.8,0.0
2006-04-28,4427.85,4452.14,4179.85,4437.05,0.0
2006-04-29,4442.64,4622.2,4442.64,4549.8,0.0
2006-05-02,4558.25,4752.85,4558.25,4729.3,0.0
2006-05-03,4733.35,4898.39,4720.89,4880.7,0.0
2006-05-04,4780.35,4960.75,4780.35,4935.3,0.0
2006-05-05,4937.2,4955.25,4865.5,4876.55,0.0
2006-05-08,4892.25,4935.85,4859.8,4875.05,0.0
2006-05-09,4896.7,4922.05,4828.95,4914.25,0.0
2006-05-10,4916.0,5068.2,4916.0,5047.14,0.0
2006-05-11,5047.14,5074.39,4966.35,4991.35,0.0
2006-05-12,4971.2,4987.0,4863.35,4871.6,0.0
2006-05-15,4873.3,4880.0,4686.55,4713.05,0.0
2006-05-16,4714.6,4724.25,4550.64,4685.45,0.0
2006-05-17,4712.2,4914.89,4712.2,4853.35,0.0
2006-05-18,4853.64,4853.64,4483.45,4539.5,0.0
2006-05-19,4593.75,4677.85,4291.14,4330.39,0.0
2006-05-22,4380.39,4463.45,3972.25,4216.3,0.0
2006-05-23,4283.95,4378.5,4101.25,4326.64,0.0
2006-05-24,4327.8,4466.8,4248.0,4295.5,0.0
2006-05-25,4274.89,4316.8,4187.39,4271.95,0.0
2006-05-26,4274.2,4411.8,4274.2,4324.05,0.0
2006-05-29,4324.7,4391.35,4297.95,4337.64,0.0
2006-05-30,4351.6,4353.2,4269.25,4274.55,0.0
2006-05-31,4254.05,4254.05,4043.0,4123.55,0.0
2006-06-01,4130.85,4206.35,4056.75,4075.5,0.0
2006-06-02,4076.3,4187.89,4032.95,4176.5,0.0
2006-06-05,4177.3,4200.8,4047.55,4068.35,0.0
2006-06-06,4061.8,4155.75,3950.9,4079.55,0.0
2006-06-07,4056.35,4082.05,3901.25,3962.0,0.0
2006-06-08,3966.3,3966.3,3666.95,3704.35,0.0
2006-06-09,3704.5,3860.25,3596.7,3829.4,0.0
2006-06-12,3832.8,3850.05,3637.35,3673.3,0.0
2006-06-13,3639.1,3639.1,3466.1,3541.25,0.0
2006-06-14,3583.4,3656.5,3408.95,3475.45,0.0
2006-06-15,3551.1,3676.85,3534.9,3661.85,0.0
2006-06-16,3679.0,3853.6,3679.0,3770.45,0.0
2006-06-19,3762.5,3765.1,3689.9,3751.55,0.0
2006-06-20,3751.5,3751.5,3633.1,3660.4,0.0
2006-06-21,3661.75,3726.7,3640.6,3685.0,0.0
2006-06-22,3686.4,3850.15,3686.4,3829.45,0.0
2006-06-23,3824.8,3824.8,3745.65,3802.5,0.0
2006-06-25,3813.6,3848.1,3777.7,3790.35,0.0
2006-06-26,3794.35,3794.35,3669.95,3683.35,0.0
2006-06-27,3695.5,3713.9,3611.2,3679.3,0.0
2006-06-28,3673.75,3682.35,3596.75,3609.35,0.0
2006-06-29,3610.65,3668.15,3571.25,3596.2,0.0
2006-06-30,3638.0,3743.8,3638.0,3708.9,0.0
2006-07-03,3717.75,3784.0,3682.35,3719.25,0.0
2006-07-04,3719.4,3788.85,3719.4,3776.85,0.0
2006-07-05,3964.8,3964.8,3771.7,3824.4,0.0
2006-07-06,3807.4,3807.4,3742.65,3761.25,0.0
2006-07-07,3765.0,3803.7,3657.3,3704.95,0.0
2006-07-10,3695.7,3713.85,3655.2,3709.4,0.0
2006-07-11,3705.05,3711.7,3664.75,3683.7,0.0
2006-07-12,3591.05,3689.35,3529.15,3684.8,0.0
2006-07-13,3688.85,3706.8,3659.4,3676.4,0.0
2006-07-14,3623.4,3658.35,3584.95,3630.1,0.0
2006-07-17,3659.35,3659.35,3504.3,3519.2,0.0
2006-07-18,3512.85,3530.6,3445.7,3472.65,0.0
2006-07-19,3485.8,3526.6,3413.5,3428.15,0.0
2006-07-20,3472.0,3626.95,3472.0,3602.45,0.0
2006-07-21,3601.6,3601.6,3509.4,3543.55,0.0
2006-07-24,3537.0,3722.25,3495.6,3715.75,0.0
2006-07-25,3768.45,3886.65,3768.45,3871.2,0.0
2006-07-26,3882.65,3910.85,3816.95,3898.35,0.0
2006-07-27,3920.15,3960.6,3844.0,3945.7,0.0
2006-07-28,3967.05,4042.75,3911.7,4022.95,0.0
2006-07-31,4032.45,4140.55,4032.45,4078.8,0.0
2006-08-01,4074.15,4074.15,3996.05,4050.75,0.0
2006-08-02,4053.55,4103.85,4029.15,4096.95,0.0
2006-08-03,4097.95,4192.95,4097.95,4152.6,0.0
2006-08-04,4129.8,4144.95,4041.7,4067.75,0.0
2006-08-07,4059.45,4153.1,4032.5,4134.45,0.0
2006-08-08,4141.0,4275.5,4141.0,4265.95,0.0
2006-08-09,4268.64,4346.25,4235.7,4329.05,0.0
2006-08-10,4336.35,4378.85,4302.35,4370.55,0.0
2006-08-11,4380.05,4403.39,4308.95,4324.64,0.0
2006-08-14,4314.7,4358.05,4308.25,4328.85,0.0
2006-08-16,4342.2,4456.1,4342.2,4433.1,0.0
2006-08-17,4453.1,4471.39,4394.3,4410.3,0.0
2006-08-18,4399.0,4414.35,4351.5,4369.3,0.0
2006-08-21,4342.89,4456.55,4325.45,4446.2,0.0
2006-08-22,4462.35,4495.89,4433.55,4449.7,0.0
2006-08-23,4448.8,4465.3,4378.14,4395.1,0.0
2006-08-24,4377.7,4442.1,4332.8,4428.35,0.0
2006-08-25,4575.75,4596.7,4472.14,4495.45,0.0
2006-08-28,4501.85,4533.0,4485.95,4528.39,0.0
2006-08-29,4529.39,4579.64,4529.39,4562.7,0.0
2006-08-30,4566.8,4605.89,4534.14,4596.3,0.0
2006-08-31,4612.0,4633.05,4580.45,4594.85,0.0
2006-09-01,4593.2,4655.5,4568.25,4650.85,0.0
2006-09-04,4662.5,4708.89,4661.5,4696.89,0.0
2006-09-05,4703.25,4743.85,4682.39,4706.8,0.0
2006-09-06,4709.2,4724.14,4671.85,4690.39,0.0
2006-09-07,4683.55,4683.55,4627.95,4647.3,0.0
2006-09-08,4652.89,4680.89,4616.14,4658.45,0.0
2006-09-11,4658.45,4672.35,4510.64,4528.89,0.0
2006-09-12,4526.25,4645.75,4480.2,4631.6,0.0
2006-09-13,4637.75,4837.6,4637.75,4823.89,0.0
2006-09-14,4853.2,4913.05,4835.1,4896.35,0.0
2006-09-15,4883.25,4915.2,4849.95,4908.1,0.0
2006-09-18,4905.0,4954.55,4898.55,4924.95,0.0
2006-09-19,4927.6,4949.0,4861.25,4890.45,0.0
2006-09-20,4878.25,4915.8,4800.64,4899.75,0.0
2006-09-21,4925.0,4990.89,4925.0,4972.95,0.0
2006-09-22,4956.45,4982.2,4903.95,4934.7,0.0
2006-09-25,5078.39,5084.25,4910.85,4949.89,0.0
2006-09-26,4957.25,5066.35,4947.8,5061.7,0.0
2006-09-27,5035.85,5143.5,5035.85,5124.5,0.0
2006-09-28,5123.64,5350.65,5118.75,5327.6,0.0
2006-09-29,5519.55,5519.55,5255.95,5276.25,0.0
2006-10-03,5277.05,5312.25,5241.45,5264.9,0.0
2006-10-04,5265.45,5267.95,5185.95,5201.25,0.0
2006-10-05,5215.85,5350.65,5215.85,5334.7,0.0
2006-10-06,5326.35,5357.2,5300.2,5311.25,0.0
2006-10-09,5290.75,5327.2,5261.75,5292.75,0.0
2006-10-10,5292.45,5326.9,5253.5,5270.3,0.0
2006-10-11,5271.5,5313.85,5182.1,5206.39,0.0
2006-10-12,5208.85,5285.3,5142.0,5270.4,0.0
2006-10-13,5290.85,5361.25,5290.85,5302.45,0.0
2006-10-16,5250.6,5433.1,5250.6,5399.55,0.0
2006-10-17,5393.4,5433.7,5353.9,5390.1,0.0
2006-10-18,5406.5,5425.6,5374.65,5405.85,0.0
2006-10-19,5410.15,5430.65,5300.0,5334.85,0.0
2006-10-20,5341.55,5373.8,5314.4,5333.65,0.0
2006-10-21,5380.65,5380.65,5307.5,5325.55,0.0
2006-10-23,5304.6,5341.05,5240.5,5247.25,0.0
2006-10-26,5282.8,5482.4,5265.2,5460.1,0.0
2006-10-27,5473.4,5551.9,5464.1,5545.25,0.0
2006-10-30,5539.9,5641.95,5479.6,5626.45,0.0
2006-10-31,5633.7,5686.9,5543.8,5588.7,0.0
2006-11-01,5792.8,5795.85,5570.9,5623.65,0.0
2006-11-02,5586.0,5677.25,5586.0,5658.75,0.0
2006-11-03,5664.05,5667.0,5600.55,5613.15,0.0
2006-11-07,5575.85,5610.6,5510.95,5535.75,0.0
2006-11-08,5529.85,5613.7,5460.5,5591.0,0.0
2006-11-09,5615.5,5670.35,5599.3,5656.35,0.0
2006-11-10,5666.25,5797.8,5648.0,5757.95,0.0
2006-11-13,5773.25,5823.95,5730.85,5801.35,0.0
2006-11-14,5793.6,5849.85,5782.1,5838.8,0.0
2006-11-15,5835.2,6047.45,5835.2,6023.55,0.0
2006-11-16,6039.2,6268.25,6039.2,6175.05,0.0
2006-11-17,6166.45,6228.25,6066.15,6119.65,0.0
2006-11-20,6115.95,6115.95,5907.45,6006.6,0.0
2006-11-21,6045.05,6101.8,6009.1,6085.5,0.0
2006-11-22,6094.4,6177.2,6094.4,6118.9,0.0
2006-11-23,6153.0,6177.55,6082.8,6157.1,0.0
2006-11-24,6144.95,6190.95,6132.6,6153.6,0.0
2006-11-27,6128.5,6217.65,6107.35,6198.35,0.0
2006-11-28,6179.35,6179.35,6080.35,6122.9,0.0
2006-11-29,6158.4,6202.1,6109.05,6127.65,0.0
2006-11-30,6144.2,6227.3,6143.55,6198.3,0.0
2006-12-01,6217.65,6341.15,6199.05,6330.75,0.0
2006-12-04,6301.65,6374.55,6280.6,6294.1,0.0
2006-12-05,6296.45,6340.0,6212.25,6235.15,0.0
2006-12-06,6264.55,6305.5,6188.8,6213.85,0.0
2006-12-07,6220.25,6284.15,6182.55,6259.5,0.0
2006-12-08,6595.85,6595.85,6187.7,6234.55,0.0
2006-12-11,6177.9,6177.9,5729.35,5790.6,0.0
2006-12-12,5758.3,5812.05,5408.95,5536.3,0.0
2006-12-13,5556.35,5741.65,5502.75,5720.35,0.0
2006-12-14,5754.8,5877.4,5754.8,5849.75,0.0
2006-12-15,5844.35,5966.3,5844.35,5958.2,0.0
2006-12-18,5971.1,6022.2,5814.9,6012.05,0.0
2006-12-19,6010.8,6010.8,5801.95,5867.45,0.0
2006-12-20,5865.8,5947.65,5764.1,5797.2,0.0
2006-12-21,5787.6,5810.95,5712.0,5777.9,0.0
2006-12-22,5796.4,5829.45,5760.1,5790.4,0.0
2006-12-26,5799.2,5914.4,5785.25,5904.15,0.0
2006-12-27,5933.45,6057.55,5930.95,6009.6,0.0
2006-12-28,6036.35,6060.85,5994.55,6027.8,0.0
2006-12-29,6098.55,6098.55,5993.9,6008.75,0.0
2007-01-02,6015.15,6067.05,6004.65,6039.55,0.0
2007-01-03,6044.3,6084.5,6009.65,6070.25,0.0
2007-01-04,6077.15,6122.4,5982.45,6008.45,0.0
2007-01-05,6004.3,6101.8,5996.45,6049.0,0.0
2007-01-08,6069.9,6069.9,5951.6,5968.35,0.0
2007-01-09,5971.8,6000.75,5864.3,5875.3,0.0
2007-01-10,5859.9,5894.4,5709.2,5723.05,0.0
2007-01-11,5720.55,5816.5,5684.7,5748.75,0.0
2007-01-12,5826.65,6184.6,5826.65,6157.95,0.0
2007-01-15,6191.0,6221.4,6144.85,6164.8,0.0
2007-01-16,6188.1,6212.1,6103.1,6157.4,0.0
2007-01-17,6168.6,6247.05,6143.75,6215.2,0.0
2007-01-18,6239.2,6292.9,6154.9,6189.5,0.0
2007-01-19,6254.5,6254.75,6104.2,6184.9,0.0
2007-01-22,6209.75,6224.1,6135.4,6175.45,0.0
2007-01-23,6167.85,6172.25,5989.85,6010.8,0.0
2007-01-24,6082.85,6098.05,5989.6,6055.5,0.0
2007-01-25,6094.05,6126.4,6051.25,6107.6,0.0
2007-01-29,6139.75,6148.55,5953.3,5978.9,0.0
2007-01-31,5980.05,6100.5,5901.65,5953.95,0.0
2007-02-01,5976.25,6152.25,5951.05,6115.2,0.0
2007-02-02,6132.45,6176.0,6059.7,6075.35,0.0
2007-02-05,6120.1,6144.65,6047.55,6089.2,0.0
2007-02-06,6095.8,6170.6,6075.25,6092.2,0.0
2007-02-07,6104.7,6173.95,6095.05,6157.15,0.0
2007-02-08,6148.65,6231.45,6146.75,6208.7,0.0
2007-02-09,6211.45,6248.6,6107.5,6184.45,0.0
2007-02-12,6085.8,6124.2,5957.3,6031.65,0.0
2007-02-13,6026.35,6100.45,5890.3,5946.45,0.0
2007-02-14,5841.2,5841.2,5561.0,5672.55,0.0
2007-02-15,5702.35,5852.5,5702.35,5841.65,0.0
2007-02-19,5858.15,5948.15,5836.85,5917.45,0.0
2007-02-20,5927.5,5945.85,5825.45,5841.25,0.0
2007-02-21,5855.2,5868.9,5787.6,5816.95,0.0
2007-02-22,5825.45,5854.4,5627.55,5647.65,0.0
2007-02-23,5721.4,5738.0,5427.35,5473.6,0.0
2007-02-26,5493.6,5579.1,5376.65,5533.75,0.0
2007-02-27,5552.3,5616.25,5407.3,5464.65,0.0
2007-02-28,5294.7,5381.55,5112.14,5240.3,0.0
2007-03-01,5262.35,5406.35,5213.35,5388.95,0.0
2007-03-02,5395.4,5401.15,5196.14,5218.95,0.0
2007-03-05,5135.75,5135.75,4980.25,5040.1,0.0
2007-03-06,5061.39,5182.45,5005.95,5110.14,0.0
2007-03-07,5185.1,5214.39,4950.5,4993.55,0.0
2007-03-08,5031.85,5246.5,4999.25,5217.85,0.0
2007-03-09,5226.05,5316.95,5160.6,5187.85,0.0
2007-03-12,5188.05,5269.3,5152.39,5180.1,0.0
2007-03-13,5188.1,5259.9,5169.3,5251.55,0.0
2007-03-14,5245.9,5245.9,5022.45,5039.05,0.0
2007-03-15,5048.05,5141.8,4949.64,4965.0,0.0
2007-03-16,4978.35,4993.55,4837.25,4893.45,0.0
2007-03-19,4900.14,4992.3,4871.45,4979.45,0.0
2007-03-20,5014.35,5125.8,5014.35,5084.1,0.0
2007-03-21,5104.0,5299.1,5083.45,5288.4,0.0
2007-03-22,5349.45,5568.3,5349.45,5554.75,0.0
2007-03-23,5549.4,5594.75,5448.85,5518.85,0.0
2007-03-26,5522.05,5593.35,5407.85,5424.3,0.0
2007-03-28,5375.5,5375.5,5270.95,5290.15,0.0
2007-03-29,5298.9,5309.9,5164.05,5273.2,0.0
2007-03-30,5281.4,5339.75,5281.4,5308.5,0.0
2007-04-02,5267.7,5267.7,4946.55,4959.64,0.0
2007-04-03,4961.3,5048.6,4921.8,4995.14,0.0
2007-04-04,4997.05,5108.14,4997.05,5031.75,0.0
2007-04-05,5035.89,5151.25,4985.3,5129.2,0.0
2007-04-09,5129.05,5335.95,5129.05,5323.8,0.0
2007-04-10,5335.4,5349.75,5229.75,5325.5,0.0
2007-04-11,5325.3,5374.25,5261.3,5276.65,0.0
2007-04-12,5241.14,5241.14,5176.45,5215.14,0.0
2007-04-13,5234.5,5404.1,5230.89,5362.1,0.0
2007-04-16,5400.3,5465.5,5400.3,5435.1,0.0
2007-04-17,5457.2,5522.15,5387.5,5455.45,0.0
2007-04-18,5474.1,5548.0,5460.15,5513.0,0.0
2007-04-19,5485.2,5587.3,5382.2,5540.3,0.0
2007-04-20,5552.1,5626.85,5514.8,5597.55,0.0
2007-04-23,5622.0,5637.1,5536.05,5550.15,0.0
2007-04-24,5524.2,5833.05,5511.7,5807.5,0.0
2007-04-25,5724.0,5905.1,5724.0,5876.45,0.0
2007-04-26,5886.95,5975.0,5862.85,5880.95,0.0
2007-04-27,5833.65,5874.75,5731.4,5752.9,0.0
2007-04-30,5627.9,5638.65,5490.85,5621.0,0.0
2007-05-03,5656.25,5721.9,5651.05,5693.4,0.0
2007-05-04,5713.7,5765.6,5641.75,5656.55,0.0
2007-05-07,5773.4,5773.4,5596.2,5610.7,0.0
2007-05-08,5584.1,5672.5,5523.75,5537.0,0.0
2007-05-09,5571.15,5649.25,5480.5,5638.55,0.0
2007-05-10,5664.2,5742.65,5628.1,5644.95,0.0
2007-05-11,5556.25,5708.3,5529.65,5682.45,0.0
2007-05-14,5733.3,5859.35,5733.3,5847.8,0.0
2007-05-15,5850.05,5968.2,5844.2,5950.65,0.0
2007-05-16,5960.65,6154.65,5960.65,6137.85,0.0
2007-05-17,6179.0,6292.05,6179.0,6270.9,0.0
2007-05-18,6241.95,6313.55,6219.4,6290.8,0.0
2007-05-21,6315.8,6445.4,6315.8,6391.15,0.0
